id;account_id;payment_form_id
241261;231820;3
241267;52287;1
241269;161268;4
241273;583965;1
241279;169624;4
241281;152400;2
241291;591065;3
241295;556509;3
241299;183318;1
241301;553197;1
241307;592278;3
241319;49683;1
241343;535215;3
241345;592365;1
241365;183640;3
241373;398405;4
241379;458521;4
241387;570660;3
241389;523710;3
241393;585873;1
241397;590935;1
241401;326508;1
241405;463265;1
241411;507078;1
241425;516992;1
241427;556760;1
241445;492267;1
241473;574005;1
241477;434271;1
241479;490170;1
241489;208218;4
241503;414051;4
241529;167751;1
241550;91310;3
241560;132955;1
241562;102893;1
241566;448885;4
241572;414906;1
241578;389274;2
241580;221955;4
241590;60710;1
241598;268534;1
241606;379377;3
241608;121121;4
241615;12726;3
241621;184900;4
241623;98336;3
241633;559915;1
241639;238278;2
241659;342380;3
241673;190904;1
241681;383787;1
241687;54372;4
241701;495132;1
241707;363414;1
241713;159523;3
241715;508287;1
241736;312378;1
241738;229560;1
241754;70053;3
241757;448735;1
241765;346787;3
241769;43740;4
241772;569931;1
241776;48910;4
241784;31437;4
241790;60805;3
241792;30102;3
241798;175975;3
241802;258635;2
241817;282171;1
241832;588260;1
241844;563270;4
241848;590763;3
241852;351330;3
241854;586370;1
241858;383628;1
241868;247467;1
241872;524797;1
241874;456033;1
241886;387506;2
241890;580209;3
241894;76620;3
241898;464001;1
241934;10410;1
241948;492720;1
241972;586299;3
241974;413785;1
241976;579600;1
241981;594534;1
241989;238893;3
241999;349496;1
242005;222735;4
242009;349496;3
242012;507820;1
242014;577416;1
242027;217776;1
242035;388542;2
242041;577430;4
242047;434667;1
242051;415665;1
242063;577560;3
242068;362299;4
242076;36250;3
242090;560958;1
242094;289059;1
242100;290416;4
242118;479885;4
242120;580749;4
242122;31840;3
242134;190218;1
242141;385047;4
242143;148204;3
242157;36546;3
242165;576147;3
242183;196818;1
242195;583974;4
242205;362088;4
242211;550900;1
242217;531864;1
242227;487325;1
242229;415597;1
242231;594146;3
242235;372771;1
242239;486159;1
242243;485331;1
242251;18520;3
242255;48306;4
242263;25812;4
242265;505595;4
242271;524797;1
242289;308000;1
242291;250978;1
242297;79730;1
242299;246155;1
242305;482140;3
242311;458598;1
242331;313830;1
242351;349480;2
242363;508375;1
242379;453600;1
242383;243320;1
242385;347769;3
242399;244330;1
242417;380508;4
242423;473517;1
242429;449985;1
242431;49145;1
242447;467530;1
242465;324219;4
242467;350270;1
242469;414051;4
242477;232055;4
242479;279207;1
242483;101064;3
242485;221484;3
242493;508774;3
242495;327640;1
242501;487575;1
242515;556840;1
242521;591805;4
242525;245819;4
242527;449967;1
242533;392390;1
242545;595611;3
242549;17001;4
242558;350905;1
242564;147558;4
242566;121121;4
242576;362780;1
242578;544962;3
242590;594534;3
242596;174530;4
242598;217548;4
242600;433363;1
242606;321356;4
242608;575181;3
242622;152649;1
242630;41795;1
242638;444249;1
242642;475977;1
242644;327299;1
242668;474795;3
242670;240780;1
242674;452305;3
242678;408575;4
242684;232288;3
242694;589029;3
242698;402965;1
242700;7797;1
242702;95872;1
242710;497777;1
242712;145985;3
242731;400002;2
242737;182553;2
242739;269227;2
242741;408212;3
242751;182553;4
242753;233296;1
242759;431046;1
242776;152012;3
242797;369963;1
242809;492394;1
242811;260676;4
242817;352674;1
242821;449853;1
242825;261790;1
242843;539697;1
242845;176829;1
242847;93378;1
242851;540414;1
242863;103922;3
242871;343200;2
242875;179640;1
242887;290004;1
242895;291639;3
242897;258351;4
242903;165543;1
242931;547876;1
242935;403032;1
242951;267105;4
242953;356037;3
242967;558130;4
242971;213861;3
242983;337113;1
242989;243837;1
242991;118505;1
242993;518360;1
242995;170073;1
242999;105429;1
243007;192804;1
243013;582100;3
243015;130835;1
243021;510045;1
243027;533080;3
243035;463568;4
243037;207865;3
243039;596064;1
243051;273287;1
243054;387016;1
243058;187824;4
243075;71895;4
243077;44840;1
243097;139761;3
243099;506220;1
243103;467579;2
243105;273740;1
243111;271848;4
243121;514460;1
243123;214310;3
243127;162984;4
243137;86328;1
243141;450120;1
243162;229280;3
243166;154585;3
243180;591600;3
243191;391074;2
243197;79812;1
243201;125425;1
243213;487750;1
243225;240462;1
243231;343044;1
243235;431459;3
243239;399027;4
243265;590653;3
243269;472367;1
243271;255624;1
243275;137560;4
243277;44481;1
243279;106780;4
243283;567588;1
243291;321837;1
243297;298584;1
243305;238287;1
243311;157608;4
243315;422170;3
243323;157608;4
243333;502750;3
243341;332334;3
243371;493941;1
243385;371274;1
243387;371274;1
243391;132955;1
243411;580820;1
243423;588762;1
243439;555445;1
243445;383425;4
243449;513401;1
243451;571430;3
243467;324305;1
243475;498694;1
243491;520580;1
243495;399917;4
243507;525530;1
243523;515018;1
243549;585981;3
243559;596660;1
243565;396745;4
243569;580525;3
243571;597110;1
243581;443763;1
243587;576099;3
243591;52090;1
243599;471055;2
243601;418045;1
243603;188715;3
243605;592818;3
243619;82229;1
243627;241920;3
243669;46965;3
243677;211510;4
243701;205491;4
243717;155703;1
243719;147633;2
243727;399935;3
243729;481585;1
243736;190749;4
243738;41846;4
243742;587589;4
243746;399935;4
243756;240790;3
243758;34155;1
243762;22851;1
243764;377214;3
243768;68420;1
243772;442023;4
243774;229536;3
243778;10122;1
243787;296112;1
243793;216535;2
243795;384600;1
243797;368385;1
243805;303237;1
243809;273287;1
243814;261235;1
243828;142534;1
243830;428394;1
243832;592522;1
243834;495132;1
243836;437645;1
243838;90566;4
243854;262899;3
243862;542841;1
243866;99515;3
243870;181447;1
243890;106896;1
243898;494151;4
243920;207918;3
243924;417665;1
243926;48567;1
243928;434733;1
243942;167307;3
243954;539832;1
243956;597642;3
243972;137193;1
243982;230888;1
243986;547456;1
243990;430885;1
244016;224559;3
244018;597880;3
244026;358690;3
244028;396090;4
244040;104499;1
244051;104235;4
244057;466164;1
244061;372915;1
244073;25722;1
244083;247371;1
244089;105063;3
244091;448878;1
244095;487758;3
244111;285831;1
244113;416136;3
244125;422770;1
244135;435516;4
244145;423730;4
244149;256805;1
244151;399528;4
244171;454611;3
244183;486813;1
244200;199593;1
244202;106530;1
244210;104499;4
244232;49437;4
244234;377214;3
244242;125845;1
244271;20818;3
244279;447115;1
244309;331071;4
244317;325845;1
244325;125661;1
244327;309210;4
244329;272975;1
244333;506210;1
244339;93499;3
244349;590436;3
244359;251157;1
244369;462475;3
244377;134775;3
244379;474102;3
244381;333996;1
244401;294040;1
244405;293030;1
244411;532406;1
244415;598599;3
244421;363430;1
244429;368365;4
244443;540516;1
244473;585579;3
244485;449481;1
244487;237078;3
244507;110667;1
244513;362299;4
244519;43335;1
244521;598872;1
244528;59826;4
244531;37295;2
244541;360787;1
244561;243216;3
244565;146673;3
244569;271761;1
244583;539697;1
244585;28670;1
244637;491823;2
244641;386125;1
244653;571840;3
244663;55791;3
244675;53037;3
244679;202420;4
244692;466900;1
244694;493233;1
244698;475135;3
244700;453960;2
244704;548988;3
244708;477580;4
244710;577377;4
244713;590359;1
244718;110173;3
244725;45324;1
244741;65568;4
244743;443086;1
244753;500514;2
244766;350097;4
244770;228849;3
244772;400344;3
244774;109422;1
244776;441690;1
244788;505509;1
244790;571921;3
244810;450674;4
244812;354088;1
244814;577385;1
244820;323037;1
244832;131800;4
244838;520674;3
244842;56602;1
244852;369003;3
244854;98010;1
244856;110997;4
244870;441534;4
244882;152695;1
244884;122585;3
244890;242847;3
244908;249295;1
244918;48706;4
244924;105576;1
244930;464331;4
244932;239771;4
244938;161661;1
244944;545565;4
244946;490734;4
244954;261235;1
244958;352626;1
244960;39987;3
244964;135360;3
244976;249415;3
244982;133055;4
244992;69801;2
244996;413076;3
245002;599091;3
245006;213663;1
245022;598722;3
245026;471632;4
245032;509370;2
245038;130434;3
245055;288635;1
245059;548805;1
245061;499551;1
245063;433345;1
245065;34155;1
245071;231711;1
245085;598533;3
245087;358284;3
245095;497562;1
245101;599977;3
245105;43520;4
245111;287793;1
245122;71330;3
245124;232755;4
245128;288861;2
245130;508452;1
245140;585015;1
245142;288195;1
245160;599990;3
245162;489834;1
245170;188490;1
245182;390250;2
245190;279155;1
245202;304776;2
245204;600051;3
245206;15534;2
245208;125425;1
245216;2052;1
245224;529035;1
245248;90220;4
245276;590740;1
245288;218109;4
245302;471483;1
245322;593726;1
245336;229077;4
245344;507820;1
245354;82090;1
245358;590580;1
245374;250715;3
245382;576123;1
245384;151823;1
245394;240490;3
245396;104070;3
245408;52285;4
245464;534342;1
245476;267386;4
245488;599560;1
245490;109466;3
245492;306333;4
245496;4131;4
245501;86514;4
245513;545724;1
245527;367528;1
245531;586410;3
245535;30184;4
245541;566885;4
245545;217973;1
245551;594987;1
245553;471714;4
245565;566652;1
245569;600957;3
245577;231111;3
245583;89890;1
245589;283735;3
245593;152005;4
245601;211746;3
245617;43029;3
245649;520920;3
245667;405146;3
245681;590095;1
245689;262240;4
245697;311003;4
245705;601105;3
245719;6734;4
245721;25365;1
245725;195624;4
245739;302380;1
245743;396520;4
245745;233296;1
245749;420170;1
245774;486645;1
245784;77435;1
245790;493415;1
245810;601395;3
245814;349748;1
245824;99372;3
245826;601404;3
245836;87699;3
245844;91884;1
245848;145905;3
245854;589983;3
245860;114327;1
245862;55832;2
245866;592160;3
245872;475900;3
245874;570168;1
245906;304549;3
245928;350097;4
245936;528225;1
245942;342846;1
245948;493941;1
245958;596784;1
245962;553506;1
245978;475435;1
245986;116028;1
245992;359955;1
246000;251410;1
246010;592655;3
246026;97295;3
246040;310989;1
246046;601233;1
246050;396520;4
246054;383703;4
246062;382989;3
246064;579762;1
246074;547158;1
246111;404568;3
246115;405663;3
246123;588393;3
246131;439824;1
246141;125247;1
246151;383400;3
246161;516771;1
246167;34342;3
246179;98500;2
246189;561108;4
246197;592761;3
246238;472041;1
246253;592760;3
246267;169865;1
246279;62980;1
246283;593270;1
246285;234420;1
246287;532863;1
246297;297695;1
246301;602628;4
246313;210800;4
246319;227305;4
246337;60273;2
246339;439292;1
246357;571401;3
246385;229978;3
246387;597730;3
246403;486777;1
246413;266241;4
246415;455964;1
246423;60879;1
246437;120775;1
246439;396235;3
246468;52824;3
246491;291669;1
246493;450615;2
246499;337870;1
246507;452892;1
246513;545174;1
246523;489603;3
246525;124080;2
246533;153483;4
246535;593271;1
246539;436583;4
246557;126213;4
246559;403990;4
246567;440481;3
246569;595620;1
246573;447881;3
246599;461880;1
246601;86937;1
246607;473845;4
246611;15978;1
246615;294550;1
246617;92745;1
246619;409270;4
246664;490761;1
246668;600909;3
246670;484944;1
246678;164520;3
246702;16476;4
246704;333522;1
246706;593369;3
246728;211340;3
246744;357616;1
246750;127128;4
246754;241134;3
246760;469629;1
246762;487921;3
246772;401968;1
246778;237895;3
246780;460167;1
246794;12761;1
246796;574050;3
246798;246753;4
246806;237895;3
246808;23484;1
246810;379767;1
246814;110780;3
246832;283075;3
246838;360525;1
246840;551340;4
246842;226035;2
246844;417910;1
246848;600894;3
246866;156425;2
246876;493385;4
246882;284385;4
246900;354172;1
246902;593124;1
246906;499869;1
246910;311003;4
246916;404719;3
246920;369945;3
246922;539697;1
246930;386193;4
246932;533814;4
246946;402465;1
246961;289704;3
246965;212205;1
246969;553464;3
246973;71040;4
246977;127461;3
246987;130713;2
246995;16473;1
247003;28383;2
247009;303625;4
247017;342846;2
247021;283385;3
247023;315555;4
247035;312963;1
247048;212409;2
247060;529284;1
247064;394025;4
247066;505645;1
247071;194152;4
247133;518930;1
247135;590842;3
247137;498370;3
247139;239802;3
247141;78948;3
247157;328916;4
247167;72741;2
247197;266645;1
247221;436176;4
247229;33594;4
247239;578810;3
247241;489209;1
247243;368088;4
247249;223143;1
247255;482184;1
247265;502824;3
247273;231834;1
247283;383289;1
247295;162807;3
247297;572750;1
247299;161988;1
247315;479865;4
247329;463445;1
247335;49040;1
247339;275673;4
247357;594906;3
247363;152049;1
247391;448935;3
247395;595377;3
247399;505141;1
247405;340984;3
247409;240339;3
247411;125845;1
247413;562855;4
247427;207048;3
247441;459823;4
247449;548545;4
247479;561395;1
247489;121121;4
247499;593889;3
247533;518203;1
247539;465305;1
247543;595338;1
247545;414327;2
247549;437975;3
247569;475941;3
247593;57730;1
247597;415782;1
247603;104499;3
247613;16390;4
247627;327299;1
247633;592065;3
247645;283143;3
247649;354396;1
247659;593770;3
247669;63040;3
247671;89199;1
247687;259364;3
247699;245187;1
247709;152068;1
247715;482510;1
247751;102657;4
247763;303815;1
247767;551800;1
247777;155943;3
247781;422169;1
247787;390936;2
247789;329105;1
247812;594612;3
247826;407913;3
247838;92586;3
247840;245014;2
247844;593373;1
247846;567380;1
247856;254674;3
247864;605652;3
247872;24340;1
247876;61251;4
247886;405366;2
247920;600945;3
247930;601025;3
247934;599796;1
247948;54033;3
247970;403041;1
247992;593243;3
247998;132102;3
248006;272487;2
248012;591339;3
248028;197355;4
248034;490380;1
248036;401545;1
248052;165321;2
248054;165321;2
248060;276945;1
248074;330288;1
248076;263802;3
248083;408660;4
248113;584000;1
248119;304724;1
248125;596830;3
248145;424823;1
248147;597024;1
248149;545425;1
248155;25305;3
248157;452640;1
248175;243320;1
248177;433947;1
248179;381852;1
248192;44964;1
248198;591752;1
248200;534987;3
248204;593945;3
248208;354384;4
248212;123840;1
248224;595903;1
248233;395658;3
248235;190509;1
248241;546460;3
248248;546460;3
248266;601095;3
248268;67824;1
248270;152540;1
248275;463914;1
248289;34746;4
248303;339205;4
248307;33450;1
248309;183316;1
248315;87940;4
248319;160962;1
248321;6783;1
248323;561636;3
248335;196462;1
248342;586815;1
248360;462935;1
248384;65193;4
248400;596050;4
248402;70574;4
248410;126051;2
248418;487929;1
248426;199948;3
248432;597365;1
248436;595866;1
248452;544599;1
248472;322343;3
248484;392457;3
248510;593455;1
248518;255258;1
248528;35832;4
248530;532863;3
248560;597422;3
248564;334503;4
248584;284984;3
248592;221397;1
248598;577195;3
248606;602110;3
248616;126763;4
248632;248847;1
248642;398136;2
248646;239802;3
248654;30184;1
248660;32331;3
248670;497975;1
248674;53635;2
248678;494755;1
248680;464712;1
248682;296823;1
248694;486102;3
248698;595980;4
248708;225040;1
248722;256893;1
248730;114725;1
248734;255618;3
248736;79629;3
248746;493686;1
248766;172722;3
248776;450552;1
248782;603612;1
248790;90609;1
248792;56440;2
248820;128631;3
248824;595510;3
248836;255283;1
248846;201069;1
248852;440902;3
248860;330822;1
248872;607959;1
248876;450336;3
248886;109415;3
248910;175395;4
248914;320145;1
248922;171017;1
248932;242920;1
248952;570453;1
248958;148809;2
248960;522132;4
248962;457170;1
248970;145590;1
248978;96922;2
248988;138213;3
248994;266784;1
249002;569607;1
249006;316442;3
249008;30459;1
249010;138024;1
249012;564414;1
249014;393831;1
249026;292159;1
249044;212597;1
249050;210305;1
249052;579849;3
249054;410975;4
249060;470025;1
249080;489099;4
249082;40615;3
249086;247080;3
249090;593855;4
249100;450420;3
249102;249669;2
249108;190925;1
249112;450340;1
249114;133637;4
249116;570843;1
249118;413163;2
249126;128926;3
249142;305315;3
249148;93336;1
249158;376000;1
249166;306651;4
249170;237648;3
249172;399861;1
249176;162533;3
249178;151620;3
249192;165321;3
249196;593320;1
249198;499113;4
249210;220998;4
249224;50979;4
249228;260965;4
249230;90958;4
249244;400806;2
249246;398826;3
249256;497588;3
249296;209730;3
249310;573643;1
249322;387335;4
249338;609237;3
249346;608307;4
249364;588049;3
249388;2517;3
249390;293694;1
249398;120827;3
249402;14015;4
249420;446965;1
249438;124080;4
249442;456126;1
249454;404919;4
249456;599802;4
249460;228078;3
249462;247440;3
249472;385227;4
249482;484713;1
249496;441679;1
249498;193479;3
249502;18520;3
249516;218226;1
249518;609511;3
249520;46584;1
249524;112406;3
249528;274581;3
249536;288822;1
249538;599529;4
249540;83586;3
249550;541365;3
249554;580779;4
249556;506961;1
249569;83922;1
249573;473925;4
249581;10425;4
249595;302859;4
249597;561820;4
249617;191025;2
249623;243891;3
249625;550521;1
249627;601045;1
249675;175242;1
249677;434380;1
249681;565000;1
249685;362170;3
249691;226896;2
249715;232179;3
249717;598105;1
249727;440657;2
249739;601420;1
249753;13725;1
249759;592755;1
249765;534090;1
249767;250610;1
249769;382250;1
249789;539021;1
249791;34080;1
249802;492411;1
249816;609297;3
249818;601470;1
249824;46285;1
249832;597995;1
249834;599435;1
249842;53037;3
249850;112784;3
249856;296061;3
249898;465936;1
249914;291435;3
249916;426000;1
249926;82905;1
249964;471632;2
249976;387267;4
249982;481965;1
249984;539021;1
250006;132102;3
250012;601426;1
250026;363412;1
250050;423730;4
250064;75261;4
250070;232491;1
250074;592755;1
250080;223092;1
250086;457330;1
250098;87416;1
250100;280770;4
250110;611076;3
250122;243380;3
250148;211510;3
250154;217044;4
250156;245772;4
250158;220776;3
250162;308562;3
250180;250539;1
250186;187677;2
250204;598884;1
250226;502418;3
250228;611710;1
250230;593424;3
250242;82113;4
250252;245394;4
250256;529332;1
250267;134930;3
250269;601410;3
250283;604074;1
250299;437574;3
250301;245930;3
250303;602265;3
250309;178797;1
250323;90861;3
250325;375620;1
250327;600777;3
250331;375620;1
250333;277144;1
250337;244386;4
250357;336864;1
250365;419860;3
250373;454426;1
250385;328380;1
250401;241701;2
250405;253614;3
250407;129794;3
250409;244335;3
250433;227151;4
250439;602231;1
250447;605973;3
250467;602085;4
250473;434180;1
250475;342168;4
250489;432714;1
250491;59880;3
250503;604254;1
250511;48454;1
250521;375177;3
250541;183785;4
250543;547456;1
250549;604935;1
250559;22274;4
250569;602358;3
250575;506322;4
250581;101906;1
250583;438612;1
250593;407869;1
250597;284781;4
250607;231275;1
250619;94542;1
250621;465708;1
250623;601820;3
250637;471990;1
250639;559362;1
250653;602589;3
250657;296265;1
250683;164520;3
250707;517824;1
250724;299645;2
250732;431004;1
250738;149616;3
250742;285873;1
250746;179555;2
250764;543201;1
250770;248637;3
250772;489853;1
250782;603008;1
250788;413115;4
250798;497562;1
250802;105007;4
250820;229782;4
250826;191527;1
250834;240023;3
250844;322953;1
250846;459571;2
250850;532406;1
250866;308016;4
250876;74877;1
250878;504185;1
250880;146272;1
250892;132267;4
250902;98750;3
250922;89202;3
250928;604142;4
250932;571995;3
250938;571995;3
250940;14634;3
250945;358036;1
250951;222858;2
250957;193479;3
250968;60536;3
250976;243015;1
251000;609003;3
251018;415752;4
251030;507820;1
251042;503949;2
251052;384267;1
251060;578510;1
251064;433476;1
251074;37975;3
251080;268240;4
251082;441312;3
251092;210351;1
251102;158076;1
251120;194152;4
251122;381852;1
251128;29845;3
251132;578424;3
251144;231280;3
251152;549205;3
251159;427446;1
251186;603399;3
251190;194280;1
251192;614253;3
251214;17139;1
251216;99882;1
251220;119555;3
251223;258591;4
251235;608713;1
251245;413075;1
251251;266155;1
251253;396090;4
251261;611165;1
251271;500442;1
251273;465708;1
251275;114611;3
251299;122364;1
251319;128493;4
251323;230331;1
251329;251676;3
251331;218277;1
251339;606135;3
251341;603498;3
251343;301548;1
251349;257770;1
251363;493698;1
251373;83130;3
251377;594378;1
251379;425349;3
251383;534591;1
251417;434703;3
251433;89620;3
251435;27875;3
251439;404180;2
251449;18055;1
251462;603093;3
251490;107005;4
251496;611523;1
251502;604521;3
251508;179640;1
251510;449574;1
251518;505883;1
251526;598587;1
251528;257840;1
251544;100611;4
251553;601989;1
251559;59740;1
251577;498429;3
251581;131097;1
251587;481197;1
251591;381789;1
251619;268710;1
251621;4131;4
251635;444665;1
251644;60867;1
251648;564126;1
251654;491815;1
251660;492289;1
251662;280791;1
251674;388599;4
251676;550602;1
251678;386440;3
251680;386440;3
251692;57730;1
251704;22905;4
251712;492720;1
251714;287568;1
251732;398275;1
251750;125425;1
251752;593660;4
251772;75579;1
251778;604608;3
251788;19227;1
251797;438545;1
251811;348410;3
251837;346326;1
251851;193361;1
251857;121681;1
251865;396415;1
251869;310482;1
251873;605562;3
251879;609696;1
251881;191142;4
251895;95646;3
251903;100324;1
251915;49239;1
251917;240351;3
251919;128235;3
251953;202785;4
251957;414906;1
251959;496783;1
251991;509265;3
252003;18855;1
252007;603474;1
252027;126606;1
252029;482450;4
252040;606368;3
252046;91206;1
252058;254500;4
252070;481566;3
252076;489630;1
252082;68145;2
252088;550437;4
252094;167616;4
252098;167616;4
252102;117334;2
252104;507078;1
252108;79745;1
252128;601347;3
252140;616385;3
252142;44840;1
252144;577345;1
252148;615834;3
252174;293010;2
252176;36021;3
252182;601515;1
252186;601515;1
252232;448827;3
252244;599501;1
252248;609117;3
252252;234420;1
252266;601174;1
252272;120693;4
252280;428952;1
252302;529332;4
252328;192970;3
252338;444072;1
252344;449290;1
252350;340312;1
252364;442758;4
252366;538206;1
252376;90129;1
252378;160430;4
252396;140682;4
252402;413155;3
252404;65487;1
252420;383628;1
252424;398763;3
252426;471632;4
252436;315600;4
252442;543050;3
252452;593999;1
252482;108703;1
252484;134708;1
252496;452337;1
252524;488496;1
252528;605298;3
252578;504865;2
252608;209328;1
252612;14964;4
252614;607932;1
252652;34572;2
252654;552246;4
252658;48591;1
252664;555115;4
252678;613014;4
252688;321065;4
252692;611103;4
252698;283647;3
252710;505224;1
252716;554337;3
252732;414393;4
252738;238266;3
252786;456115;1
252808;483912;1
252814;325881;1
252830;606850;1
252846;605409;1
252850;33909;4
252878;333018;3
252884;301647;1
252910;246687;3
252938;35808;3
252940;507612;1
252942;434790;1
252954;53032;3
252972;260115;3
252976;339276;1
252992;418830;1
253000;617094;3
253014;398898;3
253018;228006;3
253026;612270;4
253054;99828;1
253062;597147;3
253066;257208;1
253076;408909;1
253080;601533;1
253086;411798;1
253132;505473;4
253134;617743;3
253140;366882;4
253144;388113;2
253146;571500;1
253150;79770;1
253152;412554;3
253174;408289;3
253178;618513;3
253182;531591;1
253188;607605;4
253202;237111;2
253214;611315;3
253234;608030;1
253246;600655;3
253250;107408;1
253258;438335;3
253260;509152;1
253272;605680;3
253274;184563;3
253278;619827;3
253302;596376;3
253308;36955;3
253322;180131;4
253328;210305;1
253334;139071;3
253340;197410;1
253350;116826;1
253364;452892;1
253368;330822;1
253374;608901;3
253382;200368;1
253394;127257;1
253396;608634;1
253398;573230;3
253400;605490;3
253404;136570;4
253408;620221;3
253416;200368;1
253422;608127;1
253428;291183;1
253440;607225;4
253472;608982;2
253493;176880;3
253517;400410;3
253525;413485;1
253533;393610;1
253543;257139;1
253545;252115;2
253559;363465;3
253563;140511;3
253565;580569;1
253575;268730;4
253577;9231;1
253595;546294;1
253603;21051;1
253611;552681;4
253617;503667;3
253633;398136;1
253642;133395;4
253662;609100;1
253671;539021;1
253673;228625;3
253675;118105;2
253677;112851;4
253683;609100;1
253707;95592;1
253709;151941;3
253733;450338;1
253735;244632;3
253737;303924;3
253753;403195;4
253761;621045;4
253769;474816;1
253779;194052;1
253817;146555;1
253821;87136;4
253823;61869;4
253825;577704;1
253837;273784;4
253853;500736;1
253865;610673;3
253883;545088;3
253889;610845;3
253891;254464;3
253931;24375;4
253933;300906;3
253955;90021;1
253972;51267;3
253978;436128;1
253984;192640;4
253992;504129;3
254006;610946;3
254008;604053;3
254018;607138;3
254028;128926;3
254044;613896;3
254066;613695;3
254068;246171;3
254070;315837;1
254074;2355;3
254082;94104;3
254096;609465;1
254112;622227;1
254114;386125;1
254150;59892;1
254168;620754;3
254174;266370;1
254176;553701;1
254186;427143;3
254220;344472;1
254224;39850;4
254236;234168;1
254242;173155;4
254246;217063;3
254250;527844;3
254261;478926;1
254282;229422;4
254310;527758;1
254314;86514;3
254318;569703;3
254320;314202;4
254330;512220;1
254334;129183;1
254336;328944;1
254338;360038;3
254342;56739;3
254344;608925;3
254346;90040;4
254372;622917;3
254376;622888;3
254392;145068;3
254402;315555;2
254412;543438;1
254422;126980;2
254432;299445;1
254436;39151;2
254442;408725;1
254444;104313;1
254446;497775;1
254490;602336;3
254514;315342;4
254528;500736;1
254530;430930;1
254540;440902;3
254580;433155;3
254592;343905;3
254596;608004;1
254600;613100;3
254626;586910;1
254630;512770;1
254660;207170;3
254664;292990;4
254666;28053;4
254668;585516;4
254672;239771;4
254694;411072;3
254696;108409;4
254698;555183;3
254708;193800;4
254710;607345;3
254724;141396;1
254748;254958;4
254758;612441;1
254782;621072;3
254798;595479;1
254806;525888;1
254836;274707;4
254840;52482;1
254865;616326;3
254871;36638;3
254873;515230;1
254887;613800;3
254915;496401;1
254917;262686;3
254923;501222;1
254925;386001;1
254939;9947;1
254948;217776;1
254952;130015;3
254956;65187;3
254970;494945;1
254982;58300;3
254996;614960;1
255000;94137;3
255016;282108;1
255020;517090;1
255041;364112;1
255066;286848;4
255074;554981;1
255094;25722;1
255112;249720;3
255122;515230;1
255134;625810;4
255172;613885;3
255188;184779;3
255190;315265;1
255200;215862;3
255206;622605;4
255208;2781;1
255212;488677;1
255224;604795;3
255226;159042;3
255250;283830;1
255254;137459;1
255284;227885;2
255312;315105;4
255320;604707;1
255326;398826;1
255352;386190;1
255364;252354;2
255370;435589;3
255376;591230;4
255396;556746;3
255430;626780;3
255432;601686;4
255434;572571;1
255451;14016;1
255453;257457;1
255457;141321;1
255473;50892;1
255483;455844;3
255487;147730;1
255493;626922;3
255497;211791;1
255501;470259;2
255519;471632;4
255523;471632;4
255531;145012;3
